File_ID,File_Path_Origin,File_Size,File_Date,File_Path_Destination,File_Destination_Size
37,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13701-AVIS-SOC-GLASSDOOR-E1132974_P2.html,625.2 KB,2023-04-07 14:29:46.502107,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13701-AVIS-SOC-GLASSDOOR-E1132974_P2.html,625.2 KB
38,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13794-INFO-EMP-LINKEDIN-FR-1599956301.html,136.6 KB,2023-04-07 14:29:46.502838,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13794-INFO-EMP-LINKEDIN-FR-1599956301.html,136.6 KB
39,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13626-AVIS-SOC-GLASSDOOR-E3765_P2.html,640.9 KB,2023-04-07 14:29:46.503575,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13626-AVIS-SOC-GLASSDOOR-E3765_P2.html,640.9 KB
40,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13746-INFO-SOC-GLASSDOOR-E589990_P1.html,231.4 KB,2023-04-07 14:29:46.504306,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13746-INFO-SOC-GLASSDOOR-E589990_P1.html,231.4 KB
41,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13708-AVIS-SOC-GLASSDOOR-E4252_P1.html,411.9 KB,2023-04-07 14:29:46.505047,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13708-AVIS-SOC-GLASSDOOR-E4252_P1.html,411.9 KB
42,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13776-INFO-EMP-LINKEDIN-FR-1497554899.html,81.5 KB,2023-04-07 14:29:46.505794,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13776-INFO-EMP-LINKEDIN-FR-1497554899.html,81.5 KB
43,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13700-INFO-SOC-GLASSDOOR-E1127781_P1.html,211.1 KB,2023-04-07 14:29:46.506544,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13700-INFO-SOC-GLASSDOOR-E1127781_P1.html,211.1 KB
44,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13563-INFO-SOC-GLASSDOOR-E13082_P1.html,226.0 KB,2023-04-07 14:29:46.507261,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13563-INFO-SOC-GLASSDOOR-E13082_P1.html,226.0 KB
45,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13607-AVIS-SOC-GLASSDOOR-E301204_P1.html,500.6 KB,2023-04-07 14:29:46.507987,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13607-AVIS-SOC-GLASSDOOR-E301204_P1.html,500.6 KB
46,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13719-INFO-EMP-LINKEDIN-FR-1599912507.html,384.9 KB,2023-04-07 14:29:46.508781,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13719-INFO-EMP-LINKEDIN-FR-1599912507.html,384.9 KB
47,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13612-AVIS-SOC-GLASSDOOR-E845851_P1.html,335.4 KB,2023-04-07 14:29:46.509538,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13612-AVIS-SOC-GLASSDOOR-E845851_P1.html,335.4 KB
48,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13736-AVIS-SOC-GLASSDOOR-E410527_P1.html,257.3 KB,2023-04-07 14:29:46.510303,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13736-AVIS-SOC-GLASSDOOR-E410527_P1.html,257.3 KB
49,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13609-INFO-EMP-LINKEDIN-FR-1582122565.html,192.4 KB,2023-04-07 14:29:46.511028,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13609-INFO-EMP-LINKEDIN-FR-1582122565.html,192.4 KB
50,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13649-AVIS-SOC-GLASSDOOR-E2548_P2.html,1.2 MB,2023-04-07 14:29:46.511788,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13649-AVIS-SOC-GLASSDOOR-E2548_P2.html,1.2 MB
